KANAL;typ;nazwa_dluga;Nazwa_krotka;Rozdzielczosc;USI;EPG_ID;typ_kanalu;male_logo;duze_logo;Lista_praw;ON_ID;TS_ID;Frequency;Polaryzacja;Modulacja;SymbolRate;FEC;Nazwa_TSP;Service_Id;Typ_ESP;C_R;
0;MOZAIKA;;;;;;;;;;;T01.01.94_E01.02.19;
1;Ogólne;TVP 1 HD;TVP 1 HD;HD;200219;14135;DTH;709C6DFA5333FC1A19B57F98CFC15E46F2E11975.png;D2A55C05BC0F850005201C8B883BAA5E842288A2.png; 32 ;318;1300;11449;0;2;27500;3;TVP 1 HD;15037;1;1;T01.01.94_E01.02.19;
2;Ogólne;TVP 2 HD;TVP 2 HD;HD;200328;14999;DTH;C0250D1A76D7E48E8C412E63F0BBF7A6421D1C8A.png;447C2D7FFAFA2BD0577950295EDAFA236781B4B3.png; 32 ;113;7800;12265;1;2;27500;3;TVP 2 HD;3106;1;1;T01.01.94_E01.02.19;
3;Ogólne;TVN HD;TVN HD;HD;200280;14171;DTH;F24358D18BB14E369B5F9CFECBFE489C85137374.png;023EB161F13DB92A223894BAB5FBEF3B2B57377D.png; 32 ;318;1600;11508;1;2;27500;4;TVN HD;15821;1;1;T01.01.94_E01.02.19;
4;Ogólne;TVN 7 HD;TVN 7 HD;HD;200203;14177;DTH;962875CE31531AB87C8084375F24B202E07F89E4.png;5B3A18FCC33A84123034309FAF6275635C16728E.png; 32 ;318;1600;11508;1;2;27500;4;TVN 7 HD;15827;1;1;T01.01.94_E01.02.19;
5;Ogólne;Polsat HD;Polsat HD;HD;200197;14137;DTH;510EFFFF0A07DCEBB18FC270B494B55CD30FF395.png;2F5D055A7FE846BF19106FC7360AD3C04CA7971D.png; 32 ;113;13200;11158;1;2;27500;3;Polsat HD;13201;1;1;T01.01.94_E01.02.19;
6;Ogólne;TV4 HD;TV4 HD;HD;200032;14301;DTH;9507DE0C8357C89C7729655DFF7664D68EC885F3.png;481347B31C6C420CDB1581F5CA4C11861547CC2C.png; 32 ;113;13200;11158;1;2;27500;3;TV4 HD;13203;1;1;T01.01.94_E01.02.19;
7;Ogólne;TV Puls HD;TV Puls HD;HD;200258;14302;DTH;825655D97A84AA8EACA2FA27C58C3C7FD2D0FA04.png;C28BD9B7E0E8331D2A9FC02532AABDF1FEB1BB40.png; 32 ;318;11400;10796;1;2;27500;3;TV Puls HD;15718;1;1;T01.01.94_E01.02.19;
8;Ogólne;TV Puls 2;TV Puls 2;SD;200355;14199;DTH;F95339BB223B82E98255E249C8EA6F7CCD0D5863.png;B686FD8D83A86D6B0A129657D16D00A986E8ACA3.png; 32 ;318;1000;11393;1;2;27500;3;TV Puls 2;4323;1;1;T01.01.94_E01.02.19;
9;Ogólne;TTV HD;TTV HD;HD;200409;14185;DTH;A28F91938DB2E3AF587F1A334E4226107CB53EA7.png;DF74711F4D777256AF40B0C519C036587761881C.png; 33 ;318;1600;11508;1;2;27500;4;TTV HD;15831;1;1;T01.01.94_E01.02.19;
10;Ogólne;TVP Polonia;TVP Polonia;SD;200257;14015;DTH;F079546612394A3673CD824EA01EB86A347D6D6A.png;7FD5E6593D4CBC9B9C50AB08627336350DEC975F.png; ;318;13300;11179;0;1;27500;3;TVP Polonia;4907;1;1;T01.01.94_E01.02.19;
11;Ogólne;Super Polsat HD;Super Polsat HD;HD;200188;14294;DTH;8B9DFB8DBC0E0823368CAD7BB48B2BE4FFE64704.png;1D52C54D3665CD0CA5E0EFE1840BC3FBAC24FB1D.png; ;113;13200;11158;1;2;27500;3;Super Polsat HD;13211;1;1;T01.01.94_E01.02.19;
12;SERWIS INTERAKTYWNY;Oferta NC+ ;Oferta NC+ ;;;;;82BFC3873C14AF2F79ED396A486BBDA83FC7C859.png};7A8A5262469E372E8346F28A7BB35AB5F1CFF360.png;;;T01.01.94_E01.02.19;
13;Ogólne;TV6 HD;TV6 HD;HD;200189;14173;DTH;46E41314F5364716F782B7B9CC54FD6ADBED72A6.png;625F09FF62EBD0643AB3B31E322C4E86FA724991.png; ;113;13200;11158;1;2;27500;3;TV6;13204;1;1;T01.01.94_E01.02.19;
14;Ogólne;TVP HD;TVP HD;HD;200292;14167;DTH;A7C2AB45B1F8656DD5F645A8EC3E38C330A3AEC5.png;121F619B4BEAC355900C7A8045478F29AC4D32A3.png; ;318;11000;10719;1;2;27500;3;TVP HD;4408;1;1;T01.01.94_E01.02.19;
15;Ogólne;BBC First;BBC First;HD;200294;14170;DTH;5C4FDA770A2FF7D414CDAE447E2112067318D855.png;5C4FDA770A2FF7D414CDAE447E2112067318D855.png; ;318;11600;10834;1;2;27500;3;BBC HD;3590;1;1;T01.01.94_E01.02.19;
16;Premium;HBO HD;HBO HD;HD;200202;14165;DTH;9C13E0E35D30E8935C1A95848F815136FF6BFEAD.png;4872EC13057AC726D7F7BB6B4CF22C0E6C13C2BE.png; ;113;7900;12284;0;2;27500;3;HBO HD;10510;1;1;T01.01.94_E01.02.19;
17;SERWIS INTERAKTYWNY;Wideo na \u017Cyczenie ;Wideo na \u017Cyczenie ;;;;;2AFC9A63D67A89DF3ED27EFD38DE5236976E9D80.png};2AFC9A63D67A89DF3ED27EFD38DE5236976E9D80.png;;;T01.01.94_E01.02.19;
18;Filmy i seriale;Comedy Central HD;Comedy Central HD;HD;200386;14250;DTH;97EFEB806D1C11C938B52FB4ADDF9645BFDD7094.png;97EFEB806D1C11C938B52FB4ADDF9645BFDD7094.png; ;318;6500;12015;0;2;27500;3;Comedy Central HD;12;1;1;T01.01.94_E01.02.19;
19;Filmy i seriale;Paramount Channel HD;Paramount Channel HD;HD;200389;14175;DTH;247506C24AF37090382067409C97106EDC517777.png;850EB9A66B7120E2F29724860418193EA22D9E01.png; ;318;6500;12015;0;2;27500;3;Paramount Channel HD;13;1;1;T01.01.94_E01.02.19;
20;Filmy i seriale;Comedy Central Family HD;Comedy Central Family HD;HD;200275;14097;DTH;D9D1BB69082FEBA5AA1AD52741A96E4F2E92ECA9.png;D9D1BB69082FEBA5AA1AD52741A96E4F2E92ECA9.png; ;318;6500;12015;0;2;27500;3;Comedy Central Family HD;16;1;1;T01.01.94_E01.02.19;
21;Informacja;TVN24;TVN24;SD;200265;15012;DTH;7790F40ECF8861491C137178778349DB797AEAAF.png;D2349620005FA01A6462BAB683A1DB9DF45548D8.png; 33 ;318;1000;11393;1;2;27500;3;TVN 24;4314;1;1;T01.01.94_E01.02.19;
22;Informacja;TVN24 HD;TVN24 HD;SD;200330;14190;DTH;3345A276972B09FF7DEFDDB7E93E600B3D203AF5.png;86DA6EF9FFD6B1056367CFB630739812E3D3E145.png; ;318;1600;11508;1;2;27500;4;TVN24 HD;15826;1;1;T01.01.94_E01.02.19;
23;Informacja;TVN24 BiS HD;TVN24 BiS HD;HD;200459;14290;DTH;82C6AD1209CF145754DFC4FCA13C609232FB9A8D.png;82C6AD1209CF145754DFC4FCA13C609232FB9A8D.png; ;318;1000;11393;1;2;27500;3;TVN24 BiS HD;4330;1;1;T01.01.94_E01.02.19;
24;Informacja;TVP Info HD;TVP Info HD;HD;200467;14014;DTH;E92EFEB3C153D5118CA034533A1FD1D78F8DC86F.png;D78586F59AC7104EE15855ED3EB638E0589F82FB.png; ;318;11000;10719;1;2;27500;3;TVP Info HD;4409;1;1;T01.01.94_E01.02.19;
25;Ogólne;TVP 3;TVP 3;SD;200356;14215;DTH;3B1ECF18FCDD161D129488016966E62CDD4B9CAE.png;5BDB6672CAD2B1DB9A3E43E9EFFEBF2D8894D1C1.png; ;318;11000;10719;1;2;27500;3;TVP 3;4411;1;1;T01.01.94_E01.02.19;
28;Informacja;TV Republika;TV Republika;SD;200384;14249;DTH;F024A073E9CCCE5BABA9AA8F3428220792386520.png;E133918BDCE91D2174F3B4E5232E19B51377AFA0.png; ;318;11200;10758;1;2;27500;3;TV Republika;17033;1;1;T01.01.94_E01.02.19;
29;Informacja;Polsat News HD;Polsat News HD;HD;200375;14233;DTH;5DC1FE949E02F24D781773B7F0E061AB7F999E96.png;6056B3207CE0E3FE3FEFB0AB14DA875D2DFC4E5F.png; ;113;13200;11158;1;2;27500;3;Polsat News HD;13209;1;1;T01.01.94_E01.02.19;
30;Informacja;Superstacja;Superstacja;SD;200190;15049;DTH;5FF352E78FF752F085A0D98E3A14A844051F1467.png;CCB656604276F1729552FA8ED87C7ECF7980AE89.png; ;113;7400;12188;1;2;27500;3;Superstacja;7358;1;1;T01.01.94_E01.02.19;
31;Informacja;Polsat News 2;Polsat News 2;SD;200284;14004;DTH;23E0F27C73B8DEF695211975FF9742A10F6375B3.png;10849021A8E130EE1BB949836290D2A800A5C5A5.png; ;113;13200;11158;1;2;27500;3;TV Biznes;13107;1;1;T01.01.94_E01.02.19;
33;Ogólne;Nowa TV;Nowa TV;SD;200458;14287;DTH;1807C7A046C159254524101A9E536AA6531D0FE3.png;4109CF7F390E17354FE7A49531AFA0F7F9137068.png; ;318;11200;10758;1;2;27500;3;Nowa TV;17054;1;1;T01.01.94_E01.02.19;
34;Ogólne;Metro TV;Metro TV;SD;200460;14289;DTH;8C3FA501C964E91666E8D9878033318CF86F2E5F.png;7F789066A22A170B7A430019BC1CBF0CB187B289.png; ;318;11200;10758;1;2;27500;3;Metro TV;17031;1;1;T01.01.94_E01.02.19;
35;Ogólne;WP;WP;SD;200466;14288;DTH;FABD610152E04A5E082F22F4A7A22DD983133998.png;48EB3135FCEDCB1B8B79FBB907FF7354F027A389.png; ;318;11400;10796;1;2;27500;3;WP;15706;1;1;T01.01.94_E01.02.19;
36;Ogólne;Zoom TV;Zoom TV;SD;200461;14286;DTH;477AFB3805AD064EF9A24A37B386DC02947992A1.png;1D0E460501DA6CE94A45D39336292824071A9432.png; ;318;11200;10758;1;2;27500;3;Zoom TV;17041;1;1;T01.01.94_E01.02.19;
37;Ogólne;Epic Drama HD;Epic Drama HD;HD;200474;14307;DTH;3042FA42C6BD2D02C63399890F022B1CB3A2C3A8.png;3FBD825FA9213525A28490E8F27BDF3BF5684A8F.png; ;318;11200;10758;1;2;27500;3;Epic Drama HD;17040;1;1;T01.01.94_E01.02.19;
111;Sport;Eurosport 1 HD;Eurosport 1 HD;HD;200288;14162;DTH;C04D70028629B99B05AA6318FE365084611A923A.png;9D36D5DF7B11A41A06BB6DAF297D26A21744D4F0.png; ;318;12000;10911;1;2;27500;3;Eurosport 1 HD;15909;1;1;T01.01.94_E01.02.19;
112;Sport;Eurosport 2 HD;Eurosport 2 HD;HD;200291;14163;DTH;7E34E5A777CC7103DCFC2958EC55101E13AFA620.png;E26149BB785138D9E0B4DD1FA35EAD3B30B5F0DD.png; ;113;7900;12284;0;2;27500;3;Eurosport 2 HD;10508;1;1;T01.01.94_E01.02.19;
113;Sport;TVP Sport HD;TVP Sport HD;HD;200377;14108;DTH;C5D6B1AA0D7D3D5CDD65A6F3B53FCF503637D4A8.png;62B1EEE3763E9F470F07C58F89A5F771C708141C.png; ;318;11600;10834;1;2;27500;3;TVP Sport HD;3505;1;1;T01.01.94_E01.02.19;
118;Sport;nSport HD;nSport HD;HD;200221;14146;DTH;F02DC05B8472AE5C54BB245AE86982A432886D8C.png;94EE8671921565EE912C873C1756188F82E51643.png; ;318;1300;11449;0;2;27500;3;nSport HD;15033;1;1;T01.01.94_E01.02.19;
120;Sport;Eleven Sports 1 HD;Eleven Sports 1 HD;HD;200403;14271;DTH;AA7DD4259AE63FA3BA7C15343BAA703B6C6DBB58.png;2C9B6B9F858F1EDFF1EDA1F23A8BA216A0AD884B.png; ;318;1500;11488;0;2;27500;3;Eleven Sports 1 HD;5107;1;1;T01.01.94_E01.02.19;
121;Sport;Eleven Sports 2 HD;Eleven Sports 2 HD;HD;200404;14272;DTH;F6E4E5B81160F0041F0CA8C46635AD8F3E20FEBF.png;AA2CF5A164230758A89F65FB55CD7BE9E7C26696.png; ;318;1500;11488;0;2;27500;3;Eleven Sports 2 HD;5109;1;1;T01.01.94_E01.02.19;
122;Sport;Eleven Sports 3 HD;Eleven Sports 3 HD;HD;200473;14306;DTH;57A03ED08F334A67DABC049794B1E20DDCFFA248.png;2A766AB0449DE7A945A41E6AB79B5D09BBA21AFB.png; ;318;1500;11488;0;2;27500;3;Eleven Sports 3 HD;5112;25;1;T01.01.94_E01.02.19;
124;Sport;Extreme Sports;Extreme Sports;HD;200199;14224;DTH;57C1BFEE670249AFC961B0B0BE119814FCB81932.png;8EE52501AF1F35AF230E08E28B630E56B9C57828.png; ;113;7900;12284;0;2;27500;3;Extreme Sports;10506;1;1;T01.01.94_E01.02.19;
125;Sport;SportKlub HD;SportKlub HD;HD;200013;14216;DTH;F08398CF0A288A685C3D9D63D7F6D4F4C15D800E.png;9312D2B20134EDC9A5F3FF5A40BEE32434184F0E.png; ;318;11600;10834;1;2;27500;3;SportKlub HD;3503;1;1;T01.01.94_E01.02.19;
126;Sport;FightKlub HD;FightKlub HD;HD;200408;14273;DTH;12B3410AE8E28E9B58CD3A76ADCD940E7E347A61.png;07E91819F3F41DC44051BD01CFA1FC0168E950A4.png; ;318;1500;11488;0;2;27500;3;FightKlub HD;5105;1;1;T01.01.94_E01.02.19;
127;Sport;FightBox HD;FightBox HD;HD;200352;14197;DTH;BB92E4B401EF0465DF56CEC9F47DEF614E509B46.png;089217CFAE2146DCDA497B6AC1BE5FC6EE7D92E0.png; ;318;12000;10911;1;2;27500;3;FightBox HD;15908;1;1;T01.01.94_E01.02.19;
128;Sport;Motowizja HD;Motowizja HD;SD;200361;14232;DTH;345699EEF72CF1B3E182B42E4FEA5927447843E6.png;17478B8D852A2E9128D624D50036EA42F304FDBB.png; ;318;1100;11411;0;2;27500;3;Motowizja;14208;1;1;T01.01.94_E01.02.19;
130;Sport;Family Active;Family Active;SD;200395;14259;DTH;CDDFC4EA94C4B6F017A9CF1882B521FBEBF93293.png;C9CC73461D519E5120C415B2C002BC1594500BA5.png; ;318;11000;10719;1;2;27500;3;Family Active;4412;1;1;T01.01.94_E01.02.19;
133;Sport;Canal+ Sport;Canal+ Sport;HD;200341;14207;DTH;96E9D7B17DED44302392E06B55BA428D74CAC7EE.png;310E660CC85C270252BDFCE7A206867661294F4A.png; ;318;400;11278;1;2;27500;3;Canal+ Sport;13022;1;1;T01.01.94_E01.02.19;
134;Sport;Canal+ Sport 2;Canal+ Sport 2;HD;200353;14253;DTH;84A73E40632EFA006A8A16BF3760AAFA5994E3F6.png;D81EABD1C08941F60A21E0E5207E50B1AD4FB74A.png; ;318;1500;11488;0;2;27500;3;Canal+ Sport 2;5102;1;1;T01.01.94_E01.02.19;
144;Sport;Polsat Sport Premium 1;Polsat Sport Premium 1;HD;200480;14317;DTH;83160C204E7CD0668AB9FE63E7A9287B02DAA2D7.png;ABCA003067DDC50DE731F2D44027EAF94CB78F1B.png; ;318;13000;11117;1;2;27500;3;Polsat Sport Premium 1;1801;1;1;T01.01.94_E01.02.19;
145;Sport;Polsat Sport Premium 2;Polsat Sport Premium 2;HD;200481;14318;DTH;83160C204E7CD0668AB9FE63E7A9287B02DAA2D7.png;83160C204E7CD0668AB9FE63E7A9287B02DAA2D7.png; ;318;13000;11117;1;2;27500;3;Polsat Sport Premium 2;1802;1;1;T01.01.94_E01.02.19;
146;Sport;Polsat Sport Premium 3 PPV;Polsat Sport Premium 3 PPV;HD;200482;14319;DTH;73F5D151D3580D4AB39FDE222708813256DB6D84.png;73F5D151D3580D4AB39FDE222708813256DB6D84.png; ;318;13000;11117;1;2;27500;3;Polsat Sport Premium 3 PPV;1803;1;1;T01.01.94_E01.02.19;
147;Sport;Polsat Sport Premium 4 PPV;Polsat Sport Premium 4 PPV;HD;200483;14320;DTH;12876A4691F3AD00030EAD5B844FF450006BCE4D.png;12876A4691F3AD00030EAD5B844FF450006BCE4D.png; ;318;13000;11117;1;2;27500;3;Polsat Sport Premium 4 PPV;1804;1;1;T01.01.94_E01.02.19;
148;Sport;Polsat Sport Premium 5 PPV;Polsat Sport Premium 5 PPV;HD;200484;14321;DTH;FB5E85277FB60F075122A0E85347315008A2F36C.png;FB5E85277FB60F075122A0E85347315008A2F36C.png; ;318;13000;11117;1;2;27500;3;Polsat Sport Premium 5 PPV;1805;1;1;T01.01.94_E01.02.19;
149;Sport;Polsat Sport Premium 6 PPV;Polsat Sport Premium 6 PPV;HD;200485;14322;DTH;7EE5D9200C4547FFFCFCE16A92D68E9B1B193B88.png;7EE5D9200C4547FFFCFCE16A92D68E9B1B193B88.png; ;318;13000;11117;1;2;27500;3;Polsat Sport Premium 6 PPV;1806;1;1;T01.01.94_E01.02.19;
222;Filmy i seriale;TVN Fabu\u0142a HD;TVN Fabu\u0142a HD;HD;200393;14258;DTH;B691933D4D5DFF8BAE23B2C93A0CC7460D180C34.png;FD7E2E453773936EDBB396629E64722024DF182C.png; 33 ;318;1600;11508;1;2;27500;4;TVN Fabuła;15830;1;1;T01.01.94_E01.02.19;
223;Filmy i seriale;TVP Seriale;TVP Seriale;SD;200279;14130;DTH;4C13C756D928C97920B6B5EE631E979D6FD6DD76.png;9C4B1CB2EEEE94327186D97FEE65F62150A3FF33.png; 33 ;318;11400;10796;1;2;27500;3;TVP Seriale;15708;1;1;T01.01.94_E01.02.19;
224;Filmy i seriale;TVP Kultura;TVP Kultura;SD;200256;14016;DTH;3A9E15334377C836128DAA03D1506A50D5C86C26.png;7522D6576933FD68C5BFBC1771FCC319E3ADC625.png; ;318;11400;10796;1;2;27500;3;TVP Kultura;15705;1;1;T01.01.94_E01.02.19;
225;Filmy i seriale;Stopklatka TV;Stopklatka TV;SD;200371;14237;DTH;6772C69E3EC189888146D2FEBB186E7F3569D1F6.png;2CF10E7CC812B7DAE1ED781A846DF3F6A18B92DB.png; 33 ;318;11200;10758;1;2;27500;3;Stopklatka TV;17019;1;1;T01.01.94_E01.02.19;
226;Filmy i seriale;Kino Polska HD;Kino Polska HD;HD;200317;15014;DTH;019609E07C1FFEE2FA9C0ECA91430F839E2E6AE2.png;1D67778DA58AD18B50B93193306E4F27FEC1E762.png; ;318;11900;10892;0;2;27500;3;Kino Polska HD;4806;1;1;T01.01.94_E01.02.19;
228;Filmy i seriale;13 Ulica HD;13 Ulica HD;HD;200402;14281;DTH;EA7C6E0C1A5C4B1693202E8143A478DA61EA1C06.png;9A999D9349846DA3273C70954544039EF7491B37.png; ;318;12000;10911;1;2;27500;3;13 Ulica HD;15910;1;1;T01.01.94_E01.02.19;
229;Filmy i seriale;Comedy Central HD;Comedy Central HD;HD;200386;14250;DTH;97EFEB806D1C11C938B52FB4ADDF9645BFDD7094.png;97EFEB806D1C11C938B52FB4ADDF9645BFDD7094.png; ;318;6500;12015;0;2;27500;3;Comedy Central HD;12;1;1;T01.01.94_E01.02.19;
230;Filmy i seriale;Comedy Central Family HD;Comedy Central Family HD;HD;200275;14097;DTH;D9D1BB69082FEBA5AA1AD52741A96E4F2E92ECA9.png;D9D1BB69082FEBA5AA1AD52741A96E4F2E92ECA9.png; ;318;6500;12015;0;2;27500;3;Comedy Central Family HD;16;1;1;T01.01.94_E01.02.19;
231;Filmy i seriale;Ale Kino+ HD;Ale Kino+ HD;HD;200334;14200;DTH;5D0E5A7E9331749AA9E9DA21CB0114137BC438E6.png;E9DFE24762D99AF5734985F5FFA3274C5B884711.png; ;318;1100;11411;0;2;27500;3;Ale Kino+ HD;14209;1;1;T01.01.94_E01.02.19;
232;Filmy i seriale;Paramount Channel HD;Paramount Channel HD;HD;200389;14175;DTH;247506C24AF37090382067409C97106EDC517777.png;850EB9A66B7120E2F29724860418193EA22D9E01.png; ;318;6500;12015;0;2;27500;3;Paramount Channel HD;13;1;1;T01.01.94_E01.02.19;
233;Filmy i seriale;Kino TV;Kino TV;SD;200005;14132;DTH;BFE9FD914DE53008A67DD6FA9B119058A2109E7E.png;F6C8567FC80423CC7EFDECD822CA571A07DB8986.png; ;318;11400;10796;1;2;27500;3;Kino TV;15713;1;1;T01.01.94_E01.02.19;
234;Filmy i seriale;AMC HD;AMC HD;HD;200222;14164;DTH;B2CF71F44662B74B7ED3622E01D5626CBD4D9038.png;F4DA8FCA6E0C989EC81AA615442331E29F231314.png; ;318;1300;11449;0;2;27500;3;AMC HD;15031;1;1;T01.01.94_E01.02.19;
235;Filmy i seriale;TNT HD;TNT HD;HD;200251;14219;DTH;7C5407FD7C674E2E74C2A1BD72853FBD314E2E4E.png;7C5407FD7C674E2E74C2A1BD72853FBD314E2E4E.png; ;113;7900;12284;0;2;27500;3;TNT;10501;1;1;T01.01.94_E01.02.19;
236;Filmy i seriale;FOX HD;FOX HD;HD;200198;14138;DTH;B11A02C826ABB335C118A1990C4DC1003852F69F.png;6DC9C51A2010B5D5C77BE98227565B78C397E41C.png; ;113;7800;12265;1;2;27500;3;FOX HD;3111;1;1;T01.01.94_E01.02.19;
237;Filmy i seriale;FOX Comedy HD;FOX Comedy HD;HD;200289;14166;DTH;7ADC7282F4E57A862BB222EDF866CB1EE97F6B23.png;5FBB5444326807B293303A1E5AB13B92AEF3742C.png; ;113;7800;12265;1;2;27500;3;FOX Life HD;3103;1;1;T01.01.94_E01.02.19;
